Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
241,631.0,5,7,5,614,0.00792393026941363,0.011093502377179081,0.00792393026941363,0.9730586370839936
670,1692.0,8,18,1633,33,0.004728132387706856,0.010638297872340425,0.9651300236406619,0.01950354609929078
2502,4847.0,36,4734,29,48,0.007427274602847122,0.9766866102743965,0.005983082318960182,0.009903032803796162
2790,5392.0,51,66,52,5223,0.009458456973293769,0.012240356083086053,0.009643916913946587,0.9686572700296736
3037,4738.0,49,45,40,4604,0.010341916420430562,0.009497678345293373,0.008442380751371888,0.9717180244829042
3317,5364.0,37,81,44,5202,0.006897837434750187,0.015100671140939598,0.00820283370618941,0.9697986577181208
4184,5019.0,4844,43,83,49,0.9651324965132496,0.008567443713887228,0.016537158796573023,0.009762900976290097
4321,4917.0,39,117,41,4720,0.007931665649786455,0.023794996949359364,0.008338417734390889,0.9599349196664633
5184,3896.0,35,3748,46,67,0.008983572895277207,0.9620123203285421,0.011806981519507187,0.017197125256673513
5584,4293.0,4138,36,87,32,0.9638947123223853,0.008385744234800839,0.02026554856743536,0.007453994875378523
9344,2660.0,17,37,26,2580,0.006390977443609023,0.013909774436090226,0.009774436090225564,0.9699248120300752
9424,2695.0,37,18,2616,24,0.013729128014842301,0.006679035250463822,0.9706864564007421,0.008905380333951763
9534,2776.0,23,26,24,2703,0.008285302593659942,0.009365994236311239,0.008645533141210375,0.9737031700288185
9866,2641.0,24,43,16,2558,0.009087466868610375,0.01628171147292692,0.00605831124574025,0.9685725104127224
9891,2881.0,25,2795,25,36,0.008677542519958347,0.9701492537313433,0.008677542519958347,0.012495661228740022
10029,3025.0,29,52,29,2915,0.009586776859504133,0.0171900826446281,0.009586776859504133,0.9636363636363636
10198,2976.0,26,52,26,2872,0.008736559139784945,0.01747311827956989,0.008736559139784945,0.9650537634408602
10447,3272.0,3162,24,67,19,0.9663814180929096,0.007334963325183374,0.02047677261613692,0.005806845965770171
10449,3278.0,3181,57,20,20,0.9704087858450274,0.017388651616839536,0.006101281269066504,0.006101281269066504
11418,4096.0,49,50,35,3962,0.011962890625,0.01220703125,0.008544921875,0.96728515625
11514,4197.0,34,4060,30,73,0.008101024541339052,0.9673576364069574,0.007147962830593281,0.017393376221110316
12880,4918.0,54,81,42,4741,0.010980073200488003,0.016470109800732005,0.00854005693371289,0.9640097600650671
13019,5144.0,33,4956,52,103,0.006415241057542769,0.963452566096423,0.01010886469673406,0.020023328149300156
13072,5295.0,49,5105,45,96,0.009254013220018885,0.9641170915958451,0.0084985835694051,0.018130311614730877
14408,4611.0,50,57,35,4469,0.010843634786380394,0.01236174365647365,0.007590544350466276,0.9692040772066797
15451,4042.0,74,36,3898,34,0.01830776843146957,0.008906481939633844,0.9643740722414647,0.008411677387431964
