ID,Column_ID,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_Freq,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_LNum
1,9,241,94
2,47,239,94
3,71,249,94
4,95,335,94
5,113,489,94
6,179,829,94
7,260,563,93
8,303,539,93
9,335,724,94
10,404,679,25
11,417,919,94
12,437,1076,94
13,466,1166,94
14,467,1179,94
15,563,1080,94
16,566,1081,94
17,647,1477,94
18,782,1861,94
19,793,1897,89
20,821,1752,94
21,914,1653,94
22,925,1706,91
23,1001,2201,94
24,1055,2500,94
25,1102,2540,93
26,1160,2194,94
27,1207,2299,94
28,1232,2234,94
29,1323,2692,94
30,1373,2804,94
31,1418,2726,94
32,1620,2864,94
33,1665,2829,94
34,1817,2397,94
35,1923,3006,94
36,1992,2611,94
37,2129,2575,94
38,2135,2656,94
39,2141,2745,94
40,2204,2699,91
41,2426,2241,94
42,2636,2524,93
43,2771,3045,91
44,2874,3144,94
45,2975,3380,94
46,3162,3328,94
47,3191,3599,94
48,3248,4128,94
49,3471,4434,94
50,3530,4249,94
51,3586,4154,94
52,3736,3941,92
53,3915,4879,86
54,4034,4314,94
55,4191,3726,94
56,4417,3555,94
57,4627,4028,94
58,4660,3995,94
59,4918,1592,87
60,5249,4233,93
61,5315,3860,94
62,5658,3544,93
63,7205,1859,94
64,7585,2359,92
65,7874,2233,93
66,8042,2536,94
67,9763,1104,59
68,9869,2112,93
69,10401,2509,94
70,10415,2484,94
71,10585,2473,94
72,11894,4156,90
73,12470,4395,94
74,14075,3691,94
75,16775,2812,94
76,18320,2564,94
77,21307,1591,94
78,21332,1654,93
79,21378,1196,24
80,21499,2516,73
81,21937,1773,94
82,21963,1909,91
83,22336,1258,41
84,22550,2051,86
85,22570,2018,93
86,22571,933,38
87,22640,1001,39
88,22675,1024,62
89,23693,2440,94
90,24674,1602,94
91,24816,1299,94
92,24817,1301,94
93,25395,1628,93
